iter	Passed	Remaining
414	1267	1787
415	1268	1781
416	1269	1774
417	1270	1768
418	1271	1762
419	1272	1756
420	1273	1750
421	1274	1745
422	1275	1740
423	1276	1734
424	1278	1730
425	1280	1724
426	1280	1718
427	1281	1713
428	1282	1707
429	1283	1701
430	1284	1696
431	1285	1690
432	1286	1685
433	1287	1679
434	1288	1673
435	1289	1668
436	1291	1663
437	1292	1658
438	1294	1653
439	1295	1648
440	1296	1643
441	1297	1637
442	1298	1632
443	1299	1626
444	1300	1621
445	1301	1616
446	1302	1610
447	1302	1605
448	1304	1600
449	1305	1595
450	1306	1590
451	1308	1586
452	1310	1581
453	1310	1576
454	1311	1571
455	1312	1566
456	1313	1561
457	1314	1555
458	1315	1550
459	1316	1545
460	1317	1540
461	1318	1535
462	1319	1530
463	1320	1525
464	1322	1521
465	1324	1517
466	1325	1512
467	1326	1507
468	1327	1502
469	1328	1498
470	1329	1493
471	1330	1488
472	1331	1483
473	1332	1478
474	1333	1473
475	1333	1468
476	1334	1463
477	1336	1459
478	1338	1455
479	1339	1451
480	1340	1446
481	1341	1441
482	1342	1437
483	1343	1432
484	1344	1427
485	1345	1423
486	1346	1418
487	1347	1413
488	1348	1408
489	1349	1404
490	1350	1399
491	1351	1395
492	1353	1391
493	1354	1387
494	1355	1382
495	1356	1378
496	1357	1373
497	1358	1369
498	1359	1364
499	1360	1360
500	1361	1356
501	1362	1351
502	1363	1347
503	1364	1342
504	1365	1338
505	1366	1334
506	1368	1331
507	1370	1327
508	1371	1322
509	1372	1318
510	1373	1314
511	1374	1310
512	1375	1305
513	1376	1301
514	1377	1297
515	1378	1292
516	1379	1288
517	1380	1284
518	1382	1281
519	1384	1277
520	1385	1273
521	1386	1269
522	1387	1265
523	1387	1260
524	1389	1256
525	1390	1252
526	1390	1248
527	1391	1244
528	1392	1240
529	1393	1236
530	1395	1232
531	1396	1228
532	1398	1225
533	1399	1221
534	1400	1217
535	1401	1213
536	1402	1209
537	1403	1205
538	1404	1201
539	1405	1197
540	1406	1193
541	1407	1188
542	1407	1184
543	1408	1180
544	1409	1177
545	1411	1173
